,gene_name,gene_id,dataset
5458,Cxcl1,ENSMUSG00000029380,snRNAseq2
5459,Shroom3,ENSMUSG00000029381,snRNAseq2
5460,Ccng2,ENSMUSG00000029385,snRNAseq2
5461,Ddx55,ENSMUSG00000029389,snRNAseq2
5462,Tmed2,ENSMUSG00000029390,snRNAseq2
5463,Cdk2ap1,ENSMUSG00000029394,snRNAseq2
5464,Rchy1,ENSMUSG00000029397,snRNAseq2
5465,Rilpl2,ENSMUSG00000029401,snRNAseq2
5466,Snrnp35,ENSMUSG00000029402,snRNAseq2
5467,Cdkl2,ENSMUSG00000029403,snRNAseq2
5468,Arl6ip4,ENSMUSG00000029404,snRNAseq2
5469,G3bp2,ENSMUSG00000029405,snRNAseq2
5470,Pitpnm2,ENSMUSG00000029406,snRNAseq2
5471,Abcb9,ENSMUSG00000029408,snRNAseq2
5472,Ppef2,ENSMUSG00000029410,snRNAseq2
5473,Naaa,ENSMUSG00000029413,snRNAseq2
5474,Kntc1,ENSMUSG00000029414,snRNAseq2
5475,Sdad1,ENSMUSG00000029415,snRNAseq2
5476,Slc15a4,ENSMUSG00000029416,snRNAseq2
5477,Cxcl9,ENSMUSG00000029417,snRNAseq2
5478,Gm996,ENSMUSG00000029419,snRNAseq2
5479,Rimbp2,ENSMUSG00000029420,snRNAseq2
5480,Rsrc2,ENSMUSG00000029422,snRNAseq2
5481,Piwil1,ENSMUSG00000029423,snRNAseq2
5482,Scarb2,ENSMUSG00000029426,snRNAseq2
5483,Stx2,ENSMUSG00000029428,snRNAseq2
5484,Ran,ENSMUSG00000029430,snRNAseq2
5485,Nipsnap2,ENSMUSG00000029432,snRNAseq2
5486,Diablo,ENSMUSG00000029433,snRNAseq2
5487,Vps33a,ENSMUSG00000029434,snRNAseq2
5488,Mmp17,ENSMUSG00000029436,snRNAseq2
5489,Il31,ENSMUSG00000029437,snRNAseq2
5490,Bcl7a,ENSMUSG00000029438,snRNAseq2
5491,Sfswap,ENSMUSG00000029439,snRNAseq2
5492,Psmd9,ENSMUSG00000029440,snRNAseq2
5493,Wdr66,ENSMUSG00000029442,snRNAseq2
5494,Hpd,ENSMUSG00000029445,snRNAseq2
5495,Psph,ENSMUSG00000029446,snRNAseq2
5496,Cct6a,ENSMUSG00000029447,snRNAseq2
5497,Rhof,ENSMUSG00000029449,snRNAseq2
5498,Gm13103,ENSMUSG00000029451,snRNAseq2
5499,Tmem116,ENSMUSG00000029452,snRNAseq2
5500,Mapkapk5,ENSMUSG00000029454,snRNAseq2
5501,Aldh2,ENSMUSG00000029455,snRNAseq2
5502,Acad10,ENSMUSG00000029456,snRNAseq2
5503,Brap,ENSMUSG00000029458,snRNAseq2
5504,Fam168a,ENSMUSG00000029461,snRNAseq2
5505,Vps29,ENSMUSG00000029462,snRNAseq2
5506,Fam216a,ENSMUSG00000029463,snRNAseq2
5507,Gpn3,ENSMUSG00000029464,snRNAseq2
5508,Arpc3,ENSMUSG00000029465,snRNAseq2
5509,Anapc7,ENSMUSG00000029466,snRNAseq2
5510,Atp2a2,ENSMUSG00000029467,snRNAseq2
5511,P2rx7,ENSMUSG00000029468,snRNAseq2
5512,Ift81,ENSMUSG00000029469,snRNAseq2
5513,Camkk2,ENSMUSG00000029471,snRNAseq2
5514,Kdm2b,ENSMUSG00000029475,snRNAseq2
5515,Morn3,ENSMUSG00000029477,snRNAseq2
5516,Ncor2,ENSMUSG00000029478,snRNAseq2
5517,Aacs,ENSMUSG00000029482,snRNAseq2
5518,Mrpl1,ENSMUSG00000029486,snRNAseq2
5519,Mfsd7a,ENSMUSG00000029490,snRNAseq2
5520,Pxmp2,ENSMUSG00000029499,snRNAseq2
5521,Pgam5,ENSMUSG00000029500,snRNAseq2
5522,Ankle2,ENSMUSG00000029501,snRNAseq2
5523,Golga3,ENSMUSG00000029502,snRNAseq2
5524,Pus1,ENSMUSG00000029507,snRNAseq2
5525,Gpc2,ENSMUSG00000029510,snRNAseq2
5526,Ulk1,ENSMUSG00000029512,snRNAseq2
5527,Ankrd7,ENSMUSG00000029517,snRNAseq2
5528,Rab35,ENSMUSG00000029518,snRNAseq2
5529,Pla2g1b,ENSMUSG00000029522,snRNAseq2
5530,1700123K08Rik,ENSMUSG00000029526,snRNAseq2
5531,Ccr9,ENSMUSG00000029530,snRNAseq2
5532,St7,ENSMUSG00000029534,snRNAseq2
5533,Triap1,ENSMUSG00000029535,snRNAseq2
5534,Gatc,ENSMUSG00000029536,snRNAseq2
5535,Srsf9,ENSMUSG00000029538,snRNAseq2
5536,Cabp1,ENSMUSG00000029544,snRNAseq2
5537,Acads,ENSMUSG00000029545,snRNAseq2
5538,Uncx,ENSMUSG00000029546,snRNAseq2
5539,Ints1,ENSMUSG00000029547,snRNAseq2
5540,Sppl3,ENSMUSG00000029550,snRNAseq2
5541,Tes,ENSMUSG00000029552,snRNAseq2
5542,Tfec,ENSMUSG00000029553,snRNAseq2
5543,Mad1l1,ENSMUSG00000029554,snRNAseq2
5544,Mrm2,ENSMUSG00000029557,snRNAseq2
5545,2210016L21Rik,ENSMUSG00000029559,snRNAseq2
5546,Snx8,ENSMUSG00000029560,snRNAseq2
5547,Tmem168,ENSMUSG00000029569,snRNAseq2
5548,Lfng,ENSMUSG00000029570,snRNAseq2
5549,Mmab,ENSMUSG00000029575,snRNAseq2
5550,Radil,ENSMUSG00000029576,snRNAseq2
5551,Ube3b,ENSMUSG00000029577,snRNAseq2
5552,Wipi2,ENSMUSG00000029578,snRNAseq2
5553,Actb,ENSMUSG00000029580,snRNAseq2
5554,Fscn1,ENSMUSG00000029581,snRNAseq2
5555,Spdye4b,ENSMUSG00000029586,snRNAseq2
5556,Zfp12,ENSMUSG00000029587,snRNAseq2
5557,Ung,ENSMUSG00000029591,snRNAseq2
5558,Usp30,ENSMUSG00000029592,snRNAseq2
5559,Rbm19,ENSMUSG00000029594,snRNAseq2
5560,Lhx5,ENSMUSG00000029595,snRNAseq2
5561,Sdsl,ENSMUSG00000029596,snRNAseq2
5562,Plbd2,ENSMUSG00000029598,snRNAseq2
5563,Ddx54,ENSMUSG00000029599,snRNAseq2
5564,Rita1,ENSMUSG00000029600,snRNAseq2
5565,Rasal1,ENSMUSG00000029602,snRNAseq2
5566,Dtx1,ENSMUSG00000029603,snRNAseq2
5567,Oas1b,ENSMUSG00000029605,snRNAseq2
5568,Ankrd61,ENSMUSG00000029607,snRNAseq2
5569,Rph3a,ENSMUSG00000029608,snRNAseq2
5570,Rpl6,ENSMUSG00000029614,snRNAseq2
5571,Ccz1,ENSMUSG00000029617,snRNAseq2
5572,Ocm,ENSMUSG00000029618,snRNAseq2
5573,1700018F24Rik,ENSMUSG00000029620,snRNAseq2
5574,Arpc1b,ENSMUSG00000029622,snRNAseq2
5575,Pdap1,ENSMUSG00000029623,snRNAseq2
5576,Ptcd1,ENSMUSG00000029624,snRNAseq2
5577,Cpsf4,ENSMUSG00000029625,snRNAseq2
5578,Ndufa4,ENSMUSG00000029632,snRNAseq2
5579,Gm5578,ENSMUSG00000029633,snRNAseq2
5580,Rnf6,ENSMUSG00000029634,snRNAseq2
5581,Cdk8,ENSMUSG00000029635,snRNAseq2
5582,Wasf3,ENSMUSG00000029636,snRNAseq2
5583,Usp12,ENSMUSG00000029640,snRNAseq2
5584,Rasl11a,ENSMUSG00000029641,snRNAseq2
5585,Pdx1,ENSMUSG00000029644,snRNAseq2
5586,Cdx2,ENSMUSG00000029646,snRNAseq2
5587,Pan3,ENSMUSG00000029647,snRNAseq2
5588,Pomp,ENSMUSG00000029649,snRNAseq2
5589,Slc46a3,ENSMUSG00000029650,snRNAseq2
5590,N4bp2l2,ENSMUSG00000029655,snRNAseq2
5591,C8b,ENSMUSG00000029656,snRNAseq2
5592,Hsph1,ENSMUSG00000029657,snRNAseq2
5593,Wdr95,ENSMUSG00000029658,snRNAseq2
5594,Tex26,ENSMUSG00000029660,snRNAseq2
5595,Col1a2,ENSMUSG00000029661,snRNAseq2
5596,Gngt1,ENSMUSG00000029663,snRNAseq2
5597,Tfpi2,ENSMUSG00000029664,snRNAseq2
5598,Tspan12,ENSMUSG00000029669,snRNAseq2
5599,Wnt16,ENSMUSG00000029671,snRNAseq2
5600,Auts2,ENSMUSG00000029673,snRNAseq2
5601,Limk1,ENSMUSG00000029674,snRNAseq2
5602,Eln,ENSMUSG00000029675,snRNAseq2
5603,Pot1a,ENSMUSG00000029676,snRNAseq2
5604,Hyal5,ENSMUSG00000029678,snRNAseq2
5605,Hyal6,ENSMUSG00000029679,snRNAseq2
5606,Hyal4,ENSMUSG00000029680,snRNAseq2
5607,Bcl7b,ENSMUSG00000029681,snRNAseq2
5608,Spam1,ENSMUSG00000029682,snRNAseq2
5609,Wasl,ENSMUSG00000029684,snRNAseq2
5610,Cul1,ENSMUSG00000029686,snRNAseq2
5611,Ezh2,ENSMUSG00000029687,snRNAseq2
5612,Aass,ENSMUSG00000029695,snRNAseq2
5613,Ssc4d,ENSMUSG00000029699,snRNAseq2
5614,Slc13a1,ENSMUSG00000029700,snRNAseq2
5615,Lrwd1,ENSMUSG00000029703,snRNAseq2
5616,Cux1,ENSMUSG00000029705,snRNAseq2
5617,Pax4,ENSMUSG00000029706,snRNAseq2
5618,Fscn3,ENSMUSG00000029707,snRNAseq2
5619,Gcc1,ENSMUSG00000029708,snRNAseq2
5620,Ephb4,ENSMUSG00000029710,snRNAseq2
5621,Actl6b,ENSMUSG00000029712,snRNAseq2
5622,Gnb2,ENSMUSG00000029713,snRNAseq2
5623,Gigyf1,ENSMUSG00000029714,snRNAseq2
5624,Pop7,ENSMUSG00000029715,snRNAseq2
5625,Tfr2,ENSMUSG00000029716,snRNAseq2
5626,Pcolce,ENSMUSG00000029718,snRNAseq2
5627,Gm20605,ENSMUSG00000029720,snRNAseq2
5628,Agfg2,ENSMUSG00000029722,snRNAseq2
5629,Tsc22d4,ENSMUSG00000029723,snRNAseq2
5630,Ppp1r35,ENSMUSG00000029725,snRNAseq2
5631,Mepce,ENSMUSG00000029726,snRNAseq2
5632,Cyp3a13,ENSMUSG00000029727,snRNAseq2
5633,Zkscan1,ENSMUSG00000029729,snRNAseq2
5634,Nobox,ENSMUSG00000029736,snRNAseq2
5635,Asns,ENSMUSG00000029752,snRNAseq2
5636,Pon3,ENSMUSG00000029759,snRNAseq2
5637,Akr1b8,ENSMUSG00000029762,snRNAseq2
5638,Exoc4,ENSMUSG00000029763,snRNAseq2
5639,1700012A03Rik,ENSMUSG00000029766,snRNAseq2
5640,Ccdc136,ENSMUSG00000029769,snRNAseq2
5641,Irf5,ENSMUSG00000029771,snRNAseq2
5642,Ahcyl2,ENSMUSG00000029772,snRNAseq2
5643,Hibadh,ENSMUSG00000029776,snRNAseq2
5644,Gars,ENSMUSG00000029777,snRNAseq2
5645,Adcyap1r1,ENSMUSG00000029778,snRNAseq2
5646,Nt5c3,ENSMUSG00000029780,snRNAseq2
5647,Fkbp9,ENSMUSG00000029781,snRNAseq2
5648,Avl9,ENSMUSG00000029787,snRNAseq2
5649,Cpa5,ENSMUSG00000029788,snRNAseq2
5650,Sspo,ENSMUSG00000029797,snRNAseq2
5651,Herc6,ENSMUSG00000029798,snRNAseq2
5652,Abcg2,ENSMUSG00000029802,snRNAseq2
5653,Herc3,ENSMUSG00000029804,snRNAseq2
5654,Tmem176b,ENSMUSG00000029810,snRNAseq2
5655,Igf2bp3,ENSMUSG00000029814,snRNAseq2
5656,Malsu1,ENSMUSG00000029815,snRNAseq2
5657,Tra2a,ENSMUSG00000029817,snRNAseq2
5658,Npy,ENSMUSG00000029819,snRNAseq2
5659,Osbpl3,ENSMUSG00000029822,snRNAseq2
5660,Zc3hav1,ENSMUSG00000029826,snRNAseq2
5661,Tmem213,ENSMUSG00000029829,snRNAseq2
5662,Svopl,ENSMUSG00000029830,snRNAseq2
5663,Npvf,ENSMUSG00000029831,snRNAseq2
5664,Trim24,ENSMUSG00000029833,snRNAseq2
5665,1700111E14Rik,ENSMUSG00000029837,snRNAseq2
5666,Ptn,ENSMUSG00000029838,snRNAseq2
5667,Mtpn,ENSMUSG00000029840,snRNAseq2
5668,Slc13a4,ENSMUSG00000029843,snRNAseq2
5669,Hoxa1,ENSMUSG00000029844,snRNAseq2
5670,Slc23a4,ENSMUSG00000029847,snRNAseq2
5671,Stra8,ENSMUSG00000029848,snRNAseq2
5672,Epha1,ENSMUSG00000029859,snRNAseq2
5673,Zyx,ENSMUSG00000029860,snRNAseq2
5674,Fam131b,ENSMUSG00000029861,snRNAseq2
5675,Clcn1,ENSMUSG00000029862,snRNAseq2
5676,Gstk1,ENSMUSG00000029864,snRNAseq2
5677,Sval1,ENSMUSG00000029865,snRNAseq2
5678,Kel,ENSMUSG00000029866,snRNAseq2
5679,Llcfc1,ENSMUSG00000029867,snRNAseq2
5680,Trpv6,ENSMUSG00000029868,snRNAseq2
5681,Ephb6,ENSMUSG00000029869,snRNAseq2
5682,Ccdc184,ENSMUSG00000029875,snRNAseq2
5683,Dbpht2,ENSMUSG00000029878,snRNAseq2
5684,2210010C04Rik,ENSMUSG00000029882,snRNAseq2
5685,1700074P13Rik,ENSMUSG00000029883,snRNAseq2
5686,Mad2l1,ENSMUSG00000029910,snRNAseq2
5687,C130060K24Rik,ENSMUSG00000029917,snRNAseq2
5688,Hpgds,ENSMUSG00000029919,snRNAseq2
5689,Smarcad1,ENSMUSG00000029920,snRNAseq2
5690,Rab19,ENSMUSG00000029923,snRNAseq2
5691,Slc37a3,ENSMUSG00000029924,snRNAseq2
5692,Tbxas1,ENSMUSG00000029925,snRNAseq2
5693,Gfpt1,ENSMUSG00000029992,snRNAseq2
5694,Nfu1,ENSMUSG00000029993,snRNAseq2
5695,Anxa4,ENSMUSG00000029994,snRNAseq2
5696,Tgfa,ENSMUSG00000029999,snRNAseq2
5697,Figla,ENSMUSG00000030001,snRNAseq2
5698,Nat8,ENSMUSG00000030004,snRNAseq2
5699,Pradc1,ENSMUSG00000030008,snRNAseq2
5700,Zfp638,ENSMUSG00000030016,snRNAseq2
5701,Fbxl14,ENSMUSG00000030019,snRNAseq2
5702,Prickle2,ENSMUSG00000030020,snRNAseq2
5703,Adamts9,ENSMUSG00000030022,snRNAseq2
5704,1700003E16Rik,ENSMUSG00000030030,snRNAseq2
5705,Kbtbd8,ENSMUSG00000030031,snRNAseq2
5706,Ino80b,ENSMUSG00000030034,snRNAseq2
5707,Wbp1,ENSMUSG00000030035,snRNAseq2
5708,Mogs,ENSMUSG00000030036,snRNAseq2
5709,Mrpl53,ENSMUSG00000030037,snRNAseq2
5710,M1ap,ENSMUSG00000030041,snRNAseq2
5711,Pole4,ENSMUSG00000030042,snRNAseq2
5712,Mrpl19,ENSMUSG00000030045,snRNAseq2
5713,Arhgap25,ENSMUSG00000030047,snRNAseq2
5714,Gkn3,ENSMUSG00000030048,snRNAseq2
5715,Gkn2,ENSMUSG00000030049,snRNAseq2
5716,Gkn1,ENSMUSG00000030050,snRNAseq2
5717,Aplf,ENSMUSG00000030051,snRNAseq2
5718,Gp9,ENSMUSG00000030054,snRNAseq2
5719,Rab43,ENSMUSG00000030055,snRNAseq2
5720,Isy1,ENSMUSG00000030056,snRNAseq2
5721,Cnbp,ENSMUSG00000030057,snRNAseq2
5722,Copg1,ENSMUSG00000030058,snRNAseq2
5723,Hmces,ENSMUSG00000030060,snRNAseq2
5724,Rpn1,ENSMUSG00000030062,snRNAseq2
5725,Frmd4b,ENSMUSG00000030064,snRNAseq2
5726,Foxp1,ENSMUSG00000030067,snRNAseq2
5727,Prok2,ENSMUSG00000030069,snRNAseq2
5728,Gxylt2,ENSMUSG00000030074,snRNAseq2
5729,Cntn3,ENSMUSG00000030075,snRNAseq2
5730,Chl1,ENSMUSG00000030077,snRNAseq2
5731,Ruvbl1,ENSMUSG00000030079,snRNAseq2
5732,Abtb1,ENSMUSG00000030083,snRNAseq2
5733,Plxna1,ENSMUSG00000030084,snRNAseq2
5734,Chchd6,ENSMUSG00000030086,snRNAseq2
5735,Klf15,ENSMUSG00000030087,snRNAseq2
5736,Slc41a3,ENSMUSG00000030089,snRNAseq2
5737,Nup210,ENSMUSG00000030091,snRNAseq2
5738,Wnt7a,ENSMUSG00000030093,snRNAseq2
5739,Grip2,ENSMUSG00000030098,snRNAseq2
5740,Bhlhe40,ENSMUSG00000030103,snRNAseq2
5741,Edem1,ENSMUSG00000030104,snRNAseq2
5742,Arl8b,ENSMUSG00000030105,snRNAseq2
5743,Usp18,ENSMUSG00000030107,snRNAseq2
5744,Slc6a13,ENSMUSG00000030108,snRNAseq2
5745,Slc6a12,ENSMUSG00000030109,snRNAseq2
5746,Klrg1,ENSMUSG00000030114,snRNAseq2
5747,Mlf2,ENSMUSG00000030120,snRNAseq2
5748,Ptms,ENSMUSG00000030122,snRNAseq2
5749,Plxnd1,ENSMUSG00000030123,snRNAseq2
5750,Lag3,ENSMUSG00000030124,snRNAseq2
5751,Lrrc23,ENSMUSG00000030125,snRNAseq2
5752,Cops7a,ENSMUSG00000030127,snRNAseq2
5753,Mug2,ENSMUSG00000030131,snRNAseq2
5754,Rasgef1a,ENSMUSG00000030134,snRNAseq2
5755,Bms1,ENSMUSG00000030138,snRNAseq2
5756,Gm8882,ENSMUSG00000030143,snRNAseq2
5757,Clec4d,ENSMUSG00000030144,snRNAseq2
5758,Zfp248,ENSMUSG00000030145,snRNAseq2
5759,Clec4b1,ENSMUSG00000030147,snRNAseq2
5760,Clec4a2,ENSMUSG00000030148,snRNAseq2
5761,Klrb1f,ENSMUSG00000030154,snRNAseq2
5762,Cd69,ENSMUSG00000030156,snRNAseq2
5763,Clec2d,ENSMUSG00000030157,snRNAseq2
5764,Clec1b,ENSMUSG00000030159,snRNAseq2
5765,Rad52,ENSMUSG00000030166,snRNAseq2
5766,Klrc1,ENSMUSG00000030167,snRNAseq2
5767,Adipor2,ENSMUSG00000030168,snRNAseq2
5768,Wnt5b,ENSMUSG00000030170,snRNAseq2
5769,Erc1,ENSMUSG00000030172,snRNAseq2
5770,Ccdc77,ENSMUSG00000030177,snRNAseq2
5771,Kdm5a,ENSMUSG00000030180,snRNAseq2
5772,Magohb,ENSMUSG00000030188,snRNAseq2
5773,Tas2r116,ENSMUSG00000030194,snRNAseq2
5774,Etv6,ENSMUSG00000030199,snRNAseq2
5775,Bcl2l14,ENSMUSG00000030200,snRNAseq2
5776,Dusp16,ENSMUSG00000030203,snRNAseq2
5777,Ddx47,ENSMUSG00000030204,snRNAseq2
5778,Gprc5d,ENSMUSG00000030205,snRNAseq2
5779,Gsg1,ENSMUSG00000030206,snRNAseq2
5780,Fam234b,ENSMUSG00000030207,snRNAseq2
5781,Emp1,ENSMUSG00000030208,snRNAseq2
5782,Grin2b,ENSMUSG00000030209,snRNAseq2
5783,Atf7ip,ENSMUSG00000030213,snRNAseq2
5784,Plbd1,ENSMUSG00000030214,snRNAseq2
5785,Wbp11,ENSMUSG00000030216,snRNAseq2
5786,Art4,ENSMUSG00000030217,snRNAseq2
5787,Arhgdib,ENSMUSG00000030220,snRNAseq2
5788,Rerg,ENSMUSG00000030222,snRNAseq2
5789,Ptpro,ENSMUSG00000030223,snRNAseq2
5790,Strap,ENSMUSG00000030224,snRNAseq2
5791,Dera,ENSMUSG00000030225,snRNAseq2
5792,Lmo3,ENSMUSG00000030226,snRNAseq2
5793,Pik3c2g,ENSMUSG00000030228,snRNAseq2
5794,Plcz1,ENSMUSG00000030230,snRNAseq2
5795,Plekha5,ENSMUSG00000030231,snRNAseq2
5796,Aebp2,ENSMUSG00000030232,snRNAseq2
5797,Slco1c1,ENSMUSG00000030235,snRNAseq2
5798,Slco1b2,ENSMUSG00000030236,snRNAseq2
5799,Slco1a4,ENSMUSG00000030237,snRNAseq2
5800,Gys2,ENSMUSG00000030244,snRNAseq2
5801,Golt1b,ENSMUSG00000030245,snRNAseq2
5802,Kcnj8,ENSMUSG00000030247,snRNAseq2
5803,Abcc9,ENSMUSG00000030249,snRNAseq2
5804,Rad18,ENSMUSG00000030254,snRNAseq2
5805,Sspn,ENSMUSG00000030255,snRNAseq2
5806,Bhlhe41,ENSMUSG00000030256,snRNAseq2
5807,Srgap3,ENSMUSG00000030257,snRNAseq2
5808,Rassf8,ENSMUSG00000030259,snRNAseq2
5809,Lrmp,ENSMUSG00000030263,snRNAseq2
5810,Thumpd3,ENSMUSG00000030264,snRNAseq2
5811,Kras,ENSMUSG00000030265,snRNAseq2
5812,Bcat1,ENSMUSG00000030268,snRNAseq2
5813,Mtmr14,ENSMUSG00000030269,snRNAseq2
5814,Cpne9,ENSMUSG00000030270,snRNAseq2
5815,Ogg1,ENSMUSG00000030271,snRNAseq2
5816,Camk1,ENSMUSG00000030272,snRNAseq2
5817,Etnk1,ENSMUSG00000030275,snRNAseq2
5818,Ttll3,ENSMUSG00000030276,snRNAseq2
5819,Cidec,ENSMUSG00000030278,snRNAseq2
5820,Il17rc,ENSMUSG00000030281,snRNAseq2
5821,Cmas,ENSMUSG00000030282,snRNAseq2
5822,St8sia1,ENSMUSG00000030283,snRNAseq2
5823,Creld1,ENSMUSG00000030284,snRNAseq2
5824,Emc3,ENSMUSG00000030286,snRNAseq2
5825,Itpr2,ENSMUSG00000030287,snRNAseq2
5826,Med21,ENSMUSG00000030291,snRNAseq2
5827,Smco2,ENSMUSG00000030292,snRNAseq2
5828,Sec13,ENSMUSG00000030298,snRNAseq2
5829,Ccdc91,ENSMUSG00000030301,snRNAseq2
5830,Atp2b2,ENSMUSG00000030302,snRNAseq2
5831,Far2,ENSMUSG00000030303,snRNAseq2
5832,Ergic2,ENSMUSG00000030304,snRNAseq2
5833,Tmtc1,ENSMUSG00000030306,snRNAseq2
5834,Slc6a11,ENSMUSG00000030307,snRNAseq2
5835,Slc6a1,ENSMUSG00000030310,snRNAseq2
5836,Dennd5b,ENSMUSG00000030313,snRNAseq2
5837,Atg7,ENSMUSG00000030314,snRNAseq2
5838,Vgll4,ENSMUSG00000030315,snRNAseq2
5839,Timp4,ENSMUSG00000030317,snRNAseq2
5840,Cand2,ENSMUSG00000030319,snRNAseq2
5841,Efcab12,ENSMUSG00000030321,snRNAseq2
5842,Mbd4,ENSMUSG00000030322,snRNAseq2
5843,Ift122,ENSMUSG00000030323,snRNAseq2
5844,Rho,ENSMUSG00000030324,snRNAseq2
5845,Klrb1c,ENSMUSG00000030325,snRNAseq2
5846,Necap1,ENSMUSG00000030327,snRNAseq2
5847,Pianp,ENSMUSG00000030329,snRNAseq2
5848,Ing4,ENSMUSG00000030330,snRNAseq2
5849,Mrpl51,ENSMUSG00000030335,snRNAseq2
5850,Cd27,ENSMUSG00000030336,snRNAseq2
5851,Vamp1,ENSMUSG00000030337,snRNAseq2
5852,Ltbr,ENSMUSG00000030339,snRNAseq2
5853,Scnn1a,ENSMUSG00000030340,snRNAseq2
5854,Rad51ap1,ENSMUSG00000030346,snRNAseq2
5855,D6Wsu163e,ENSMUSG00000030347,snRNAseq2
5856,Tspan11,ENSMUSG00000030351,snRNAseq2
5857,Tead4,ENSMUSG00000030353,snRNAseq2
5858,Pzp,ENSMUSG00000030359,snRNAseq2
5859,Klrb1a,ENSMUSG00000030361,snRNAseq2
5860,Clec2j,ENSMUSG00000030363,snRNAseq2
5861,Clec2h,ENSMUSG00000030364,snRNAseq2
5862,Clec2i,ENSMUSG00000030365,snRNAseq2
5863,Ceacam12,ENSMUSG00000030366,snRNAseq2
5864,Ceacam11,ENSMUSG00000030368,snRNAseq2
5865,Psg28,ENSMUSG00000030373,snRNAseq2
5866,Strn4,ENSMUSG00000030374,snRNAseq2
5867,Slc8a2,ENSMUSG00000030376,snRNAseq2
5868,Sult2a8,ENSMUSG00000030378,snRNAseq2
5869,2900092C05Rik,ENSMUSG00000030385,snRNAseq2
5870,Zfp606,ENSMUSG00000030386,snRNAseq2
5871,Zik1,ENSMUSG00000030393,snRNAseq2
5872,Mark4,ENSMUSG00000030397,snRNAseq2
5873,Ckm,ENSMUSG00000030399,snRNAseq2
5874,Ercc2,ENSMUSG00000030400,snRNAseq2
5875,Rtn2,ENSMUSG00000030401,snRNAseq2
5876,Ppm1n,ENSMUSG00000030402,snRNAseq2
5877,Vasp,ENSMUSG00000030403,snRNAseq2
5878,Gipr,ENSMUSG00000030406,snRNAseq2
5879,Dmpk,ENSMUSG00000030409,snRNAseq2
5880,Dmwd,ENSMUSG00000030410,snRNAseq2
5881,Nova2,ENSMUSG00000030411,snRNAseq2
5882,Pglyrp1,ENSMUSG00000030413,snRNAseq2
5883,Lilra6,ENSMUSG00000030427,snRNAseq2
5884,Ttyh1,ENSMUSG00000030428,snRNAseq2
5885,Tmem238,ENSMUSG00000030431,snRNAseq2
5886,Rpl28,ENSMUSG00000030432,snRNAseq2
5887,U2af2,ENSMUSG00000030435,snRNAseq2
5888,Cyfip1,ENSMUSG00000030447,snRNAseq2
5889,4933421I07Rik,ENSMUSG00000030463,snRNAseq2
5890,Psd3,ENSMUSG00000030465,snRNAseq2
5891,Zfp719,ENSMUSG00000030469,snRNAseq2
5892,Csrp3,ENSMUSG00000030470,snRNAseq2
5893,Ceacam18,ENSMUSG00000030472,snRNAseq2
5894,Siglece,ENSMUSG00000030474,snRNAseq2
5895,Cyp2b10,ENSMUSG00000030483,snRNAseq2
5896,Lypd5,ENSMUSG00000030484,snRNAseq2
5897,Zfp108,ENSMUSG00000030486,snRNAseq2
5898,Tdrd12,ENSMUSG00000030491,snRNAseq2
5899,Slc7a9,ENSMUSG00000030492,snRNAseq2
5900,Faap24,ENSMUSG00000030493,snRNAseq2
5901,Gas2,ENSMUSG00000030498,snRNAseq2
5902,Kctd15,ENSMUSG00000030499,snRNAseq2
5903,Prmt3,ENSMUSG00000030505,snRNAseq2
5904,Cers3,ENSMUSG00000030510,snRNAseq2
5905,Pcsk6,ENSMUSG00000030513,snRNAseq2
5906,Tarsl2,ENSMUSG00000030515,snRNAseq2
5907,Fam189a1,ENSMUSG00000030518,snRNAseq2
5908,Mtmr10,ENSMUSG00000030522,snRNAseq2
5909,Trpm1,ENSMUSG00000030523,snRNAseq2
5910,Chrna7,ENSMUSG00000030525,snRNAseq2
5911,Furin,ENSMUSG00000030530,snRNAseq2
5912,Unc45a,ENSMUSG00000030533,snRNAseq2
5913,Vps33b,ENSMUSG00000030534,snRNAseq2
5914,Iqgap1,ENSMUSG00000030536,snRNAseq2
5915,Sema4b,ENSMUSG00000030539,snRNAseq2
5916,Idh2,ENSMUSG00000030541,snRNAseq2
5917,Mesp2,ENSMUSG00000030543,snRNAseq2
5918,Mesp1,ENSMUSG00000030544,snRNAseq2
5919,Pex11a,ENSMUSG00000030545,snRNAseq2
5920,Plin1,ENSMUSG00000030546,snRNAseq2
5921,Rhcg,ENSMUSG00000030549,snRNAseq2
5922,Nr2f2,ENSMUSG00000030551,snRNAseq2
5923,Rab38,ENSMUSG00000030559,snRNAseq2
5924,Ctsc,ENSMUSG00000030560,snRNAseq2
5925,Nox4,ENSMUSG00000030562,snRNAseq2
5926,Cd22,ENSMUSG00000030577,snRNAseq2
5927,Tyrobp,ENSMUSG00000030579,snRNAseq2
5928,Sipa1l3,ENSMUSG00000030583,snRNAseq2
5929,Dpf1,ENSMUSG00000030584,snRNAseq2
5930,Fam98c,ENSMUSG00000030590,snRNAseq2
5931,Ryr1,ENSMUSG00000030592,snRNAseq2
5932,Nfkbib,ENSMUSG00000030595,snRNAseq2
5933,Fbxo17,ENSMUSG00000030598,snRNAseq2
5934,Lrfn1,ENSMUSG00000030600,snRNAseq2
5935,Pak4,ENSMUSG00000030602,snRNAseq2
5936,Zfp626,ENSMUSG00000030604,snRNAseq2
5937,Mfge8,ENSMUSG00000030605,snRNAseq2
5938,Hapln3,ENSMUSG00000030606,snRNAseq2
